Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%?,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
311,Patty Mills\millspa02,PG,29,SAS,53,12,24.1,3.3,7.8,0.421,1.8,4.7,0.391,1.4,3.1,0.466,0.539,1.2,1.4,0.878,0.2,1.6,1.8,2.7,0.7,0.1,1.4,1.4,9.6
312,Troy Daniels\danietr01,SG,26,PHO,52,3,19.1,2.8,6.7,0.421,2.3,5.5,0.42,0.5,1.2,0.429,0.593,0.8,0.8,0.907,0.1,1.1,1.2,0.6,0.2,0.1,0.7,1.7,8.7
313,Jamal Crawford\crawfja01,SG,37,MIN,52,0,18.9,3.7,8.7,0.421,1.2,3.5,0.339,2.5,5.2,0.478,0.49,1.4,1.6,0.89,0.2,1,1.2,2.4,0.5,0.1,1.1,1.1,9.9
314,Ben McLemore\mclembe01,SG,24,MEM,29,6,16.9,2.5,6,0.42,0.8,2.6,0.297,1.8,3.4,0.51,0.483,0.8,0.9,0.852,0.4,1.5,1.9,0.8,0.6,0.2,0.9,2.6,6.6
315,Gerald Green\greenge01,SG,32,HOU,13,0,24.7,4.5,10.6,0.42,2.9,7.3,0.4,1.5,3.3,0.465,0.558,1.6,2,0.808,0.5,2.6,3.1,0.7,0.6,0.3,0.9,2.3,13.5
316,Jerryd Bayless\bayleje01,SG,29,PHI,35,11,24.9,2.9,7,0.419,1.5,3.9,0.37,1.5,3.1,0.481,0.522,1,1.3,0.795,0.4,1.8,2.2,1.4,0.7,0.2,1.2,2.5,8.3
317,Caris LeVert\leverca01,SF,23,BRK,47,9,26.7,4.3,10.3,0.419,1.2,3.6,0.329,3.1,6.7,0.467,0.476,1.9,2.8,0.687,0.8,3.1,4,4.2,1.2,0.3,2.4,2.2,11.7
318,Carmelo Anthony\anthoca01,PF,33,OKC,50,50,32.6,6.6,15.8,0.418,2.1,6.1,0.353,4.4,9.7,0.458,0.485,2.4,3.1,0.771,0.7,5.2,5.9,1.5,0.7,0.6,1.3,2.7,17.7
319,Jae Crowder\crowdja01,SF,27,CLE,50,44,25.4,3,7.2,0.418,1.2,3.6,0.326,1.8,3.6,0.511,0.5,1.5,1.7,0.872,0.8,2.6,3.4,1.1,0.8,0.2,0.8,2.3,8.7
320,Wilson Chandler\chandwi01,SF,30,DEN,45,42,30.6,3.4,8,0.418,1,3.1,0.324,2.4,4.9,0.477,0.481,1.4,1.6,0.838,1.4,3.8,5.2,2,0.5,0.5,1.5,1.9,9.1
